instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
12415234,48497,NIFTYIT17JAN8800PE,,0.05,2017-01-25,8800.0,0.05,50,PE,NFO-OPT,NFO
11606530,45338,BANKNIFTY02MAR1719600PE,,838.2,2017-03-02,19600.0,0.05,40,PE,NFO-OPT,NFO
11606786,45339,BANKNIFTY17MAR16400CE,,2762.45,2017-03-30,16400.0,0.05,40,CE,NFO-OPT,NFO
12446210,48618,NIFTYMID5017JAN4300CE,,0.2,2017-01-25,4300.0,0.05,200,CE,NFO-OPT,NFO
8965634,35022,DJIA17JUNFUT,,20457.5,2017-06-16,-0.01,2.5,30,FUT,NFO-FUT,NFO
12421122,48520,NIFTYIT17JAN9700PE,,12.8,2017-01-25,9700.0,0.05,50,PE,NFO-OPT,NFO
12421378,48521,NIFTYIT17JAN9800CE,,506.5,2017-01-25,9800.0,0.05,50,CE,NFO-OPT,NFO
12446466,48619,NIFTYMID5017JAN4300PE,,453.4,2017-01-25,4300.0,0.05,200,PE,NFO-OPT,NFO
12446978,48621,NIFTYMID5017JAN4400CE,,0.05,2017-01-25,4400.0,0.05,200,CE,NFO-OPT,NFO
12447234,48622,NIFTYMID5017JAN4400PE,,553.05,2017-01-25,4400.0,0.05,200,PE,NFO-OPT,NFO
12465410,48693,NIFTYPSE17JAN4100CE,,12.7,2017-01-25,4100.0,0.05,200,CE,NFO-OPT,NFO
12473602,48725,ABIRLANUVO17JAN1000CE,,259.0,2017-01-25,1000.0,0.05,400,CE,NFO-OPT,NFO
12473858,48726,ABIRLANUVO17JAN1000PE,,0.05,2017-01-25,1000.0,0.05,400,PE,NFO-OPT,NFO
12474114,48727,ABIRLANUVO17JAN1050CE,,209.1,2017-01-25,1050.0,0.05,400,CE,NFO-OPT,NFO
12474370,48728,ABIRLANUVO17JAN1050PE,,0.05,2017-01-25,1050.0,0.05,400,PE,NFO-OPT,NFO
14791426,57779,EXIDEIND17JAN245PE,,62.45,2017-01-25,245.0,0.05,4000,PE,NFO-OPT,NFO
18381826,71804,HAVELLS17FEB460CE,,1.6,2017-02-23,460.0,0.05,2000,CE,NFO-OPT,NFO
22612482,88330,PETRONET17JAN250CE,,119.1,2017-01-25,250.0,0.05,1500,CE,NFO-OPT,NFO
23744514,92752,MCLEODRUSS17FEB85PE,,0.05,2017-02-23,85.0,0.05,3000,PE,NFO-OPT,NFO
24036354,93892,PFC17FEB122.5PE,,1.7,2017-02-23,122.5,0.05,6000,PE,NFO-OPT,NFO
25503490,99623,VEDL17FEB280CE,,2.8,2017-02-23,280.0,0.05,3500,CE,NFO-OPT,NFO
8965890,35023,S&P50017JUNFUT,,2335.25,2017-06-16,-0.01,0.25,250,FUT,NFO-FUT,NFO
9639938,37656,MARUTI17JAN4800PE,,1.35,2017-01-25,4800.0,0.05,150,PE,NFO-OPT,NFO
10972674,42862,SUNPHARMA17FEB410PE,,0.05,2017-02-23,410.0,0.05,700,PE,NFO-OPT,NFO
11606274,45337,BANKNIFTY02MAR1719600CE,,320.95,2017-03-02,19600.0,0.05,40,CE,NFO-OPT,NFO
11607554,45342,BANKNIFTY17MAR16400PE,,24.85,2017-03-30,16400.0,0.05,40,PE,NFO-OPT,NFO
24039938,93906,PFC17FEB140PE,,8.35,2017-02-23,140.0,0.05,6000,PE,NFO-OPT,NFO
11618306,45384,BANKNIFTY17MAR17000CE,,2210.45,2017-03-30,17000.0,0.05,40,CE,NFO-OPT,NFO
12475394,48732,ABIRLANUVO17JAN1150CE,,110.65,2017-01-25,1150.0,0.05,400,CE,NFO-OPT,NFO
18384386,71814,HAVELLS17FEB510CE,,0.25,2017-02-23,510.0,0.05,2000,CE,NFO-OPT,NFO
11617282,45380,BANKNIFTY17MAR16800CE,,2390.95,2017-03-30,16800.0,0.05,40,CE,NFO-OPT,NFO
13918210,54368,BANKNIFTY19JAN1718600PE,,39.3,2017-01-19,18600.0,0.05,40,PE,NFO-OPT,NFO
18388738,71831,HCLTECH17FEB580PE,,0.05,2017-02-23,580.0,0.05,700,PE,NFO-OPT,NFO
18419458,71951,HDFC17FEB1460PE,,203.75,2017-02-23,1460.0,0.05,500,PE,NFO-OPT,NFO
23014402,89900,SRTRANSFIN17JAN780CE,,177.0,2017-01-25,780.0,0.05,600,CE,NFO-OPT,NFO
11616514,45377,BANKNIFTY17MAR16600PE,,34.8,2017-03-30,16600.0,0.05,40,PE,NFO-OPT,NFO
14583810,56968,BANKNIFTY17FEB16900PE,,15.3,2017-02-23,16900.0,0.05,40,PE,NFO-OPT,NFO
23043586,90014,STAR17JAN860CE,,290.7,2017-01-25,860.0,0.05,500,CE,NFO-OPT,NFO
11617538,45381,BANKNIFTY17MAR16800PE,,47.8,2017-03-30,16800.0,0.05,40,PE,NFO-OPT,NFO
23747586,92764,MCLEODRUSS17FEB115PE,,0.05,2017-02-23,115.0,0.05,3000,PE,NFO-OPT,NFO
24046338,93931,PFC17FEB172.5CE,,0.35,2017-02-23,172.5,0.05,6000,CE,NFO-OPT,NFO
10997506,42959,NIFTY17DEC6700CE,,2120.05,2017-12-28,6700.0,0.05,75,CE,NFO-OPT,NFO
11616258,45376,BANKNIFTY17MAR16600CE,,2575.15,2017-03-30,16600.0,0.05,40,CE,NFO-OPT,NFO
11616770,45378,BANKNIFTY17MAR16700CE,,2482.6,2017-03-30,16700.0,0.05,40,CE,NFO-OPT,NFO
11617026,45379,BANKNIFTY17MAR16700PE,,40.9,2017-03-30,16700.0,0.05,40,PE,NFO-OPT,NFO
11617794,45382,BANKNIFTY17MAR16900CE,,2300.15,2017-03-30,16900.0,0.05,40,CE,NFO-OPT,NFO
11618050,45383,BANKNIFTY17MAR16900PE,,55.7,2017-03-30,16900.0,0.05,40,PE,NFO-OPT,NFO
11618562,45385,BANKNIFTY17MAR17000PE,,64.55,2017-03-30,17000.0,0.05,40,PE,NFO-OPT,NFO
12474626,48729,ABIRLANUVO17JAN1100CE,,159.35,2017-01-25,1100.0,0.05,400,CE,NFO-OPT,NFO
12475138,48731,ABIRLANUVO17JAN1100PE,,0.15,2017-01-25,1100.0,0.05,400,PE,NFO-OPT,NFO
17195522,67170,COLPAL17FEB740PE,,0.05,2017-02-23,740.0,0.05,700,PE,NFO-OPT,NFO
17859586,69764,LICHSGFIN17JAN570PE,,41.15,2017-01-25,570.0,0.05,1100,PE,NFO-OPT,NFO
9641986,37664,MCLEODRUSS17JAN85PE,,0.05,2017-01-25,85.0,0.05,3000,PE,NFO-OPT,NFO
24046594,93932,PFC17FEB172.5PE,,34.85,2017-02-23,172.5,0.05,6000,PE,NFO-OPT,NFO
23045122,90020,STAR17JAN920CE,,230.85,2017-01-25,920.0,0.05,500,CE,NFO-OPT,NFO
18435330,72013,HDFCBANK17FEB1140PE,,1.75,2017-02-23,1140.0,0.05,500,PE,NFO-OPT,NFO
18424066,71969,HDFC17FEB1620PE,,360.55,2017-02-23,1620.0,0.05,500,PE,NFO-OPT,NFO
9406466,36744,NIFTY17JUN8800PE,,397.75,2017-06-29,8800.0,0.05,75,PE,NFO-OPT,NFO
10999810,42968,MRF17JAN54000CE,,1299.7,2017-01-25,54000.0,0.05,15,CE,NFO-OPT,NFO
11618818,45386,BANKNIFTY17MAR17100CE,,2121.8,2017-03-30,17100.0,0.05,40,CE,NFO-OPT,NFO
11619586,45389,BANKNIFTY17MAR17200PE,,85.75,2017-03-30,17200.0,0.05,40,PE,NFO-OPT,NFO
11619074,45387,BANKNIFTY17MAR17100PE,,74.55,2017-03-30,17100.0,0.05,40,PE,NFO-OPT,NFO
11619330,45388,BANKNIFTY17MAR17200CE,,2034.35,2017-03-30,17200.0,0.05,40,CE,NFO-OPT,NFO
11619842,45390,BANKNIFTY17MAR17300CE,,1948.2,2017-03-30,17300.0,0.05,40,CE,NFO-OPT,NFO
11620098,45391,BANKNIFTY17MAR17300PE,,98.2,2017-03-30,17300.0,0.05,40,PE,NFO-OPT,NFO
13901314,54302,BANKNIFTY19JAN1717500CE,,1293.65,2017-01-19,17500.0,0.05,40,CE,NFO-OPT,NFO
13906946,54324,BANKNIFTY19JAN1717800PE,,3.35,2017-01-19,17800.0,0.05,40,PE,NFO-OPT,NFO
23749122,92770,MCLEODRUSS17FEB130PE,,0.3,2017-02-23,130.0,0.05,3000,PE,NFO-OPT,NFO
13908994,54332,BANKNIFTY19JAN1718200PE,,8.55,2017-01-19,18200.0,0.05,40,PE,NFO-OPT,NFO
14579970,56953,DRREDDY17JAN3100PE,,130.0,2017-01-25,3100.0,0.05,200,PE,NFO-OPT,NFO
18425090,71973,HDFCBANK17JAN760PE,,0.05,2017-01-25,760.0,0.05,500,PE,NFO-OPT,NFO
24050946,93949,PIDILITIND17FEB470CE,,173.8,2017-02-23,470.0,0.05,1000,CE,NFO-OPT,NFO
25568770,99878,YESBANK17FEB980PE,,0.55,2017-02-23,980.0,0.05,700,PE,NFO-OPT,NFO
17196290,67173,COLPAL17FEB780CE,,125.2,2017-02-23,780.0,0.05,700,CE,NFO-OPT,NFO
18436354,72017,HDFCBANK17FEB1180PE,,6.45,2017-02-23,1180.0,0.05,500,PE,NFO-OPT,NFO
22279682,87030,NIITTECH17JAN450CE,,4.1,2017-01-25,450.0,0.05,1500,CE,NFO-OPT,NFO
17876226,69829,LICHSGFIN17JAN760PE,,228.15,2017-01-25,760.0,0.05,1100,PE,NFO-OPT,NFO
24051202,93950,PIDILITIND17FEB470PE,,0.05,2017-02-23,470.0,0.05,1000,PE,NFO-OPT,NFO
24908802,97300,TATASTEEL17FEB240PE,,0.05,2017-02-23,240.0,0.05,2000,PE,NFO-OPT,NFO
11627266,45419,BANKNIFTY17MAR17800PE,,182.9,2017-03-30,17800.0,0.05,40,PE,NFO-OPT,NFO
11622146,45399,BANKNIFTY17MAR17500PE,,127.35,2017-03-30,17500.0,0.05,40,PE,NFO-OPT,NFO
11627522,45420,BANKNIFTY17MAR17900CE,,1463.15,2017-03-30,17900.0,0.05,40,CE,NFO-OPT,NFO
23750658,92776,MCLEODRUSS17FEB145PE,,2.45,2017-02-23,145.0,0.05,3000,PE,NFO-OPT,NFO
24055554,93967,PIDILITIND17FEB560CE,,85.6,2017-02-23,560.0,0.05,1000,CE,NFO-OPT,NFO
11627778,45421,BANKNIFTY17MAR17900PE,,204.95,2017-03-30,17900.0,0.05,40,PE,NFO-OPT,NFO
11001858,42976,BANKNIFTY19JAN1716400CE,,2529.45,2017-01-19,16400.0,0.05,40,CE,NFO-OPT,NFO
11002626,42979,MRF17JAN54100CE,,1257.15,2017-01-25,54100.0,0.05,15,CE,NFO-OPT,NFO
11620610,45393,BANKNIFTY17MAR17400PE,,112.05,2017-03-30,17400.0,0.05,40,PE,NFO-OPT,NFO
11622402,45400,BANKNIFTY17MAR17600CE,,1698.3,2017-03-30,17600.0,0.05,40,CE,NFO-OPT,NFO
11624194,45407,BANKNIFTY17MAR17600PE,,144.2,2017-03-30,17600.0,0.05,40,PE,NFO-OPT,NFO
11624450,45408,BANKNIFTY17MAR17700CE,,1618.2,2017-03-30,17700.0,0.05,40,CE,NFO-OPT,NFO
18451202,72075,HDIL17FEB32.5PE,,0.05,2017-02-23,32.5,0.05,8000,PE,NFO-OPT,NFO
11626754,45417,BANKNIFTY17MAR17700PE,,162.7,2017-03-30,17700.0,0.05,40,PE,NFO-OPT,NFO
13943810,54468,BANKNIFTY19JAN1719000CE,,92.35,2017-01-19,19000.0,0.05,40,CE,NFO-OPT,NFO
11627010,45418,BANKNIFTY17MAR17800CE,,1539.75,2017-03-30,17800.0,0.05,40,CE,NFO-OPT,NFO
14594818,57011,BANKNIFTY17FEB17900CE,,1254.05,2017-02-23,17900.0,0.05,40,CE,NFO-OPT,NFO
17879554,69842,LT17JAN1140CE,,301.2,2017-01-25,1140.0,0.05,500,CE,NFO-OPT,NFO
18451458,72076,HDIL17FEB35CE,,27.9,2017-02-23,35.0,0.05,8000,CE,NFO-OPT,NFO
18452226,72079,HDIL17FEB37.5PE,,0.05,2017-02-23,37.5,0.05,8000,PE,NFO-OPT,NFO
23045634,90022,STAR17JAN940CE,,210.9,2017-01-25,940.0,0.05,500,CE,NFO-OPT,NFO
11620866,45394,BANKNIFTY17MAR17500CE,,1780.1,2017-03-30,17500.0,0.05,40,CE,NFO-OPT,NFO
23756546,92799,MCLEODRUSS17FEB205CE,,0.05,2017-02-23,205.0,0.05,3000,CE,NFO-OPT,NFO
24055810,93968,PIDILITIND17FEB560PE,,1.15,2017-02-23,560.0,0.05,1000,PE,NFO-OPT,NFO
17880322,69845,LT17JAN1160PE,,0.05,2017-01-25,1160.0,0.05,500,PE,NFO-OPT,NFO
25312002,98875,TCS17FEB1850CE,,414.9,2017-02-23,1850.0,0.05,250,CE,NFO-OPT,NFO
25322498,98916,TCS17FEB2850PE,,580.6,2017-02-23,2850.0,0.05,250,PE,NFO-OPT,NFO
9658626,37729,ORIENTBANK17JAN70CE,,45.25,2017-01-25,70.0,0.05,6000,CE,NFO-OPT,NFO
11629570,45428,BANKNIFTY17MAR18100CE,,1316.3,2017-03-30,18100.0,0.05,40,CE,NFO-OPT,NFO
11633154,45442,BANKNIFTY17MAR18400CE,,1109.7,2017-03-30,18400.0,0.05,40,CE,NFO-OPT,NFO
23045890,90023,STAR17JAN940PE,,0.05,2017-01-25,940.0,0.05,500,PE,NFO-OPT,NFO
11008258,43001,FTSE10017MAR7700CE,,16.55,2017-03-17,7700.0,0.05,100,CE,NFO-OPT,NFO
11634434,45447,BANKNIFTY17MAR18400PE,,344.6,2017-03-30,18400.0,0.05,40,PE,NFO-OPT,NFO
13944834,54472,BANKNIFTY19JAN1719200CE,,37.9,2017-01-19,19200.0,0.05,40,CE,NFO-OPT,NFO
11008770,43003,MRF17JAN54350PE,,2030.65,2017-01-25,54350.0,0.05,15,PE,NFO-OPT,NFO
11629826,45429,BANKNIFTY17MAR18100PE,,255.3,2017-03-30,18100.0,0.05,40,PE,NFO-OPT,NFO
11630082,45430,BANKNIFTY17MAR18200CE,,1244.75,2017-03-30,18200.0,0.05,40,CE,NFO-OPT,NFO
14855426,58029,GAIL17JAN580CE,,0.05,2017-01-25,580.0,0.05,1500,CE,NFO-OPT,NFO
17886722,69870,CUMMINSIND17FEB1140PE,,279.5,2017-02-23,1140.0,0.05,600,PE,NFO-OPT,NFO
23762946,92824,MINDTREE17FEB320PE,,0.05,2017-02-23,320.0,0.05,1200,PE,NFO-OPT,NFO
24064514,94002,PIDILITIND17FEB730PE,,86.35,2017-02-23,730.0,0.05,1000,PE,NFO-OPT,NFO
18475010,72168,HEROMOTOCO17FEB2450PE,,0.2,2017-02-23,2450.0,0.05,200,PE,NFO-OPT,NFO
11631362,45435,BANKNIFTY17MAR18200PE,,282.35,2017-03-30,18200.0,0.05,40,PE,NFO-OPT,NFO
11631618,45436,BANKNIFTY17MAR18300CE,,1176.15,2017-03-30,18300.0,0.05,40,CE,NFO-OPT,NFO
11632898,45441,BANKNIFTY17MAR18300PE,,312.4,2017-03-30,18300.0,0.05,40,PE,NFO-OPT,NFO
11009282,43005,FTSE10017JUN7700CE,,89.8,2017-06-16,7700.0,0.05,100,CE,NFO-OPT,NFO
11009538,43006,MRF17JAN54400CE,,1135.3,2017-01-25,54400.0,0.05,15,CE,NFO-OPT,NFO
11629314,45427,BANKNIFTY17MAR18000PE,,228.85,2017-03-30,18000.0,0.05,40,PE,NFO-OPT,NFO
25335042,98965,TECHM17FEB410CE,,82.4,2017-02-23,410.0,0.05,1100,CE,NFO-OPT,NFO
25345538,99006,TECHM17FEB610PE,,117.45,2017-02-23,610.0,0.05,1100,PE,NFO-OPT,NFO
8986114,35102,ASHOKLEY17JAN122.5CE,,0.05,2017-01-25,122.5,0.05,7000,CE,NFO-OPT,NFO
9023490,35248,CROMPGREAV17FEB37.5PE,,0.05,2017-02-23,37.5,0.05,12000,PE,NFO-OPT,NFO
11016706,43034,BANKNIFTY17FEB16300PE,,3.25,2017-02-23,16300.0,0.05,40,PE,NFO-OPT,NFO
11018498,43041,PAGEIND17JAN14250PE,,515.05,2017-01-25,14250.0,0.05,50,PE,NFO-OPT,NFO
11639554,45467,BANKNIFTY17MAR18900CE,,811.2,2017-03-30,18900.0,0.05,40,CE,NFO-OPT,NFO
11634690,45448,BANKNIFTY17MAR18500CE,,1045.45,2017-03-30,18500.0,0.05,40,CE,NFO-OPT,NFO
11638530,45463,BANKNIFTY17MAR18700CE,,923.75,2017-03-30,18700.0,0.05,40,CE,NFO-OPT,NFO
11638786,45464,BANKNIFTY17MAR18700PE,,454.5,2017-03-30,18700.0,0.05,40,PE,NFO-OPT,NFO
11639042,45465,BANKNIFTY17MAR18800CE,,866.3,2017-03-30,18800.0,0.05,40,CE,NFO-OPT,NFO
11639298,45466,BANKNIFTY17MAR18800PE,,495.7,2017-03-30,18800.0,0.05,40,PE,NFO-OPT,NFO
11640322,45470,BANKNIFTY17MAR18900PE,,539.2,2017-03-30,18900.0,0.05,40,PE,NFO-OPT,NFO
13945858,54476,BANKNIFTY19JAN1719400CE,,13.6,2017-01-19,19400.0,0.05,40,CE,NFO-OPT,NFO
17893122,69895,DABUR17FEB200PE,,0.05,2017-02-23,200.0,0.05,2500,PE,NFO-OPT,NFO
23046146,90024,STAR17JAN960CE,,191.0,2017-01-25,960.0,0.05,500,CE,NFO-OPT,NFO
11637762,45460,BANKNIFTY17MAR18500PE,,378.95,2017-03-30,18500.0,0.05,40,PE,NFO-OPT,NFO
23765506,92834,MINDTREE17FEB370PE,,0.25,2017-02-23,370.0,0.05,1200,PE,NFO-OPT,NFO
11638018,45461,BANKNIFTY17MAR18600CE,,983.45,2017-03-30,18600.0,0.05,40,CE,NFO-OPT,NFO
14863618,58061,GLENMARK17JAN680CE,,215.9,2017-01-25,680.0,0.05,700,CE,NFO-OPT,NFO
24073986,94039,PNB17FEB130CE,,4.3,2017-02-23,130.0,0.05,7000,CE,NFO-OPT,NFO
11638274,45462,BANKNIFTY17MAR18600PE,,415.6,2017-03-30,18600.0,0.05,40,PE,NFO-OPT,NFO
18483714,72202,HEROMOTOCO17FEB2750PE,,9.1,2017-02-23,2750.0,0.05,200,PE,NFO-OPT,NFO
9023746,35249,DCBBANK17FEB160CE,,0.3,2017-02-23,160.0,0.05,4500,CE,NFO-OPT,NFO
11020034,43047,PAGEIND17JAN14400CE,,297.85,2017-01-25,14400.0,0.05,50,CE,NFO-OPT,NFO
18483970,72203,HEROMOTOCO17FEB2800CE,,282.05,2017-02-23,2800.0,0.05,200,CE,NFO-OPT,NFO
22333954,87242,NIITTECH17JAN550CE,,0.05,2017-01-25,550.0,0.05,1500,CE,NFO-OPT,NFO
25367554,99092,TORNTPHARM17FEB650PE,,0.05,2017-02-23,650.0,0.05,400,PE,NFO-OPT,NFO
25370114,99102,TORNTPHARM17FEB900PE,,0.05,2017-02-23,900.0,0.05,400,PE,NFO-OPT,NFO
9025794,35257,DISHTV17FEB125CE,,0.05,2017-02-23,125.0,0.05,7000,CE,NFO-OPT,NFO
24078850,94058,PNB17FEB175PE,,48.65,2017-02-23,175.0,0.05,7000,PE,NFO-OPT,NFO
11640834,45472,BANKNIFTY17MAR19000PE,,585.0,2017-03-30,19000.0,0.05,40,PE,NFO-OPT,NFO
11641346,45474,BANKNIFTY17MAR19100PE,,633.2,2017-03-30,19100.0,0.05,40,PE,NFO-OPT,NFO
11641602,45475,BANKNIFTY17MAR19200CE,,659.7,2017-03-30,19200.0,0.05,40,CE,NFO-OPT,NFO
11641090,45473,BANKNIFTY17MAR19100CE,,707.9,2017-03-30,19100.0,0.05,40,CE,NFO-OPT,NFO
11641858,45476,BANKNIFTY17MAR19200PE,,683.55,2017-03-30,19200.0,0.05,40,PE,NFO-OPT,NFO
13975042,54590,BANKNIFTY19JAN1720100CE,,1.5,2017-01-19,20100.0,0.05,40,CE,NFO-OPT,NFO
14885890,58148,GLENMARK17JAN740CE,,156.05,2017-01-25,740.0,0.05,700,CE,NFO-OPT,NFO
17897474,69912,DABUR17FEB225PE,,0.05,2017-02-23,225.0,0.05,2500,PE,NFO-OPT,NFO
18492674,72237,HEROMOTOCO17FEB3650CE,,1.5,2017-02-23,3650.0,0.05,200,CE,NFO-OPT,NFO
22460162,87735,NTPC17JAN142.5PE,,0.05,2017-01-25,142.5,0.05,4000,PE,NFO-OPT,NFO
22460418,87736,NTPC17JAN145CE,,26.35,2017-01-25,145.0,0.05,4000,CE,NFO-OPT,NFO
23766530,92838,MINDTREE17FEB390PE,,0.7,2017-02-23,390.0,0.05,1200,PE,NFO-OPT,NFO
9024514,35252,S&P50017JUN2200CE,,139.8,2017-06-16,2200.0,0.05,250,CE,NFO-OPT,NFO
25011714,97702,TATASTEEL17FEB270PE,,0.05,2017-02-23,270.0,0.05,2000,PE,NFO-OPT,NFO
17899778,69921,DABUR17FEB245CE,,38.85,2017-02-23,245.0,0.05,2500,CE,NFO-OPT,NFO
